model,class,bucket_low,bucket_high,predicted_mean,actual_freq,count
XGBoost,Lower,0.0,0.1,0.01578597292370562,0.04285714285714286,70
XGBoost,Lower,0.1,0.2,0.16474333498626947,0.0,8
XGBoost,Lower,0.2,0.30000000000000004,0.24617884159088135,0.6,5
XGBoost,Lower,0.3,0.4,0.3164176344871521,0.0,1
XGBoost,Lower,0.4,0.5,0.4891680032014847,0.0,2
XGBoost,Lower,0.5,0.6,0.5605738759040833,0.0,1
XGBoost,Lower,0.6,0.7,0.6510405739148458,0.6666666666666666,3
XGBoost,Lower,0.7,0.7999999999999999,0.7337710857391357,0.0,1
XGBoost,Lower,0.8,0.9,0.8753890593846639,0.3333333333333333,3
XGBoost,Lower,0.9,1.0,0.9328106244405111,0.6666666666666666,3
XGBoost,Same,0.0,0.1,0.0562720832725366,0.4444444444444444,18
XGBoost,Same,0.1,0.2,0.14400523006916047,0.4,5
XGBoost,Same,0.2,0.30000000000000004,0.2482579704374075,0.625,8
XGBoost,Same,0.3,0.4,0.34089086055755613,0.6,10
XGBoost,Same,0.4,0.5,0.4633479019006093,0.8333333333333334,6
XGBoost,Same,0.5,0.6,0.57060906291008,1.0,2
XGBoost,Same,0.6,0.7,0.6685016393661499,0.2,5
XGBoost,Same,0.7,0.7999999999999999,0.7493670344352722,0.6,5
XGBoost,Same,0.8,0.9,0.8550694733858109,0.75,8
XGBoost,Same,0.9,1.0,0.967599771420161,0.9333333333333333,30
XGBoost,Higher,0.0,0.1,0.030165188574409557,0.047619047619047616,42
XGBoost,Higher,0.1,0.2,0.14929737150669098,0.18181818181818182,11
XGBoost,Higher,0.2,0.30000000000000004,0.24656598908560617,0.42857142857142855,7
XGBoost,Higher,0.3,0.4,0.3383044898509979,0.16666666666666666,6
XGBoost,Higher,0.4,0.5,0.44482224186261493,0.0,3
XGBoost,Higher,0.5,0.6,0.5341652512550354,0.4,5
XGBoost,Higher,0.6,0.7,0.6652671247720718,0.5,4
XGBoost,Higher,0.7,0.7999999999999999,0.740753778389522,0.42857142857142855,7
XGBoost,Higher,0.8,0.9,0.8350574016571045,0.4,5
XGBoost,Higher,0.9,1.0,0.9543293288775853,0.42857142857142855,7
LightGBM,Lower,0.0,0.1,0.0019621591350302363,0.07228915662650602,83
LightGBM,Lower,0.1,0.2,0.15450817568286795,0.0,2
