model,class,bucket_low,bucket_high,predicted_mean,actual_freq,count
XGBoost,Lower,0.0,0.1,0.010941528673331598,0.0547945205479452,73
XGBoost,Lower,0.1,0.2,0.15925886588437216,0.14285714285714285,7
XGBoost,Lower,0.2,0.30000000000000004,0.2930690348148346,0.0,2
XGBoost,Lower,0.3,0.4,0.33660247921943665,0.0,3
XGBoost,Lower,0.4,0.5,0.43308255076408386,1.0,2
XGBoost,Lower,0.5,0.6,0.5826375484466553,1.0,1
XGBoost,Lower,0.6,0.7,0.6099795699119568,0.0,1
XGBoost,Lower,0.7,0.7999999999999999,0.729253888130188,0.0,1
XGBoost,Lower,0.8,0.9,0.850338876247406,0.4,5
XGBoost,Lower,0.9,1.0,0.9407908916473389,1.0,1
XGBoost,Same,0.0,0.1,0.06285834919823252,0.4782608695652174,23
XGBoost,Same,0.1,0.2,0.15247965138405561,0.5,8
XGBoost,Same,0.2,0.30000000000000004,0.25016410513357684,0.7272727272727273,11
XGBoost,Same,0.3,0.4,0.36510783061385155,0.25,8
XGBoost,Same,0.4,0.5,0.4499005153775215,0.75,4
XGBoost,Same,0.5,0.6,0.5601362138986588,0.75,4
XGBoost,Same,0.6,0.7,0.6224645773569742,1.0,3
XGBoost,Same,0.7,0.7999999999999999,0.7579468131065369,0.8,5
XGBoost,Same,0.8,0.9,0.8665905992190043,0.8333333333333334,6
XGBoost,Same,0.9,1.0,0.9666483650604883,0.9166666666666666,24
XGBoost,Higher,0.0,0.1,0.03661367443034097,0.058823529411764705,34
XGBoost,Higher,0.1,0.2,0.14256237521767617,0.0,10
XGBoost,Higher,0.2,0.30000000000000004,0.24360916869980948,0.14285714285714285,7
XGBoost,Higher,0.3,0.4,0.38534101843833923,0.0,1
XGBoost,Higher,0.4,0.5,0.4523765444755554,0.25,4
XGBoost,Higher,0.5,0.6,0.5399319132169088,0.6666666666666666,3
XGBoost,Higher,0.6,0.7,0.6416582209723336,0.5714285714285714,7
XGBoost,Higher,0.7,0.7999999999999999,0.747645828458998,0.1111111111111111,9
XGBoost,Higher,0.8,0.9,0.8427858829498291,0.4,10
XGBoost,Higher,0.9,1.0,0.9306080883199518,0.45454545454545453,11
LightGBM,Lower,0.0,0.1,0.023023951936013868,0.04225352112676056,71
LightGBM,Lower,0.1,0.2,0.13399293953356703,0.25,4
LightGBM,Lower,0.2,0.30000000000000004,0.23109565845238025,0.0,3
LightGBM,Lower,0.3,0.4,0.3307179018406868,0.3333333333333333,3
LightGBM,Lower,0.4,0.5,0.43391700193483723,0.0,2
LightGBM,Lower,0.5,0.6,0.5439996018841645,0.0,1
LightGBM,Lower,0.6,0.7,,,0
LightGBM,Lower,0.7,0.7999999999999999,0.7476109684079333,0.5,4
LightGBM,Lower,0.8,0.9,0.8887343535604016,1.0,1
LightGBM,Lower,0.9,1.0,0.9559433343876168,0.42857142857142855,7
